A.	he.
O.	you.
Pɛ.	you.
Pɔ́.	they.
Mm.	yes.
Ŋŋ.	yes.
afa’.	work.
efɔ.	the chief.
háp.	half.
jɔ́ɔk.	demijohn.
ajɔk.	broom.
ajʉ’.	place.
kɔ́p.	cup.
kúum.	a comb.
kí.	key.
Ŋgáŋ.	no!
apū.	a hand.
nu.	the sun.
Pu’.	a knife.
Mba’.	bush.
Ta’.	one.
lesɔŋ.	tooth.
aleŋ.	a chair.
aláŋ.	a shoe.
máak.	a mark.
mmók.	fire.
matúa.	a car.
nu.	the sun.
na.	an animal.
nnū.	a snake.
ŋiŋ.	someone.
ŋŋ.	yes!
ŋŋí.	a cutlass.
legʉɔ.	the departure.
lʉ́ɔ́.	a horse.
shʉ́ɔ́.	an elephant.
wɛɛ́?	Which?
wáási.	watch!
íyə̄’!	hello!
yáá.	give!
ŋgāp.	a hen.
ŋgu’.	year.
gégá.	butterfly.
háma.	hammer.
fufwɛt.	wind.
háŋkɔɔ́ŋ.	handcuffe.
Metseŋ tə́ə ŋghi.	Consonants.
bía.	beer.
mbap.	meat.
Atsaʼte.	politeness.
Atsaʼte ndáanjhʉ̄ á lɛkɔ̄ mé yémba ?	How do they say good morning in yémba?
mbáa.	abscess.
cíca.	teacher.
ncu.	a war.
cɔ́ɔ́si.	church.
ndeŋ.	bamboo.
ndɔ̄ŋ.	horn.
ndhʉ.	border.
ateta.	courtyard.
esaá.	the market.
sésá.	scissors.
apɛ.	gain.
páŋné.	a gizzard.
paŋ.	red.
pɛ́ɛn.	pan.
lepfo’.	the mortar.
lepfɛ̄t.	to eat.
lepfeŋ.	to touch.
séŋ.	a bird.
sáap.	file.
saŋ.	month.
shúu.	cabbage.
shúka.	sugar.
shʉ́’té.	the base of  a bamboo.
túŋ.	a basket.
tá’.	but,
tɛla.	smith.
akɛtte.	a letter.
alɛ́ta.	guinea pig.
pípa.	a paper.
metsita.	irish potato.
pí.	loss.
alo.	heat.
ndekó.	a bed.
mekō.	bean.
anenɔ̄.	type of mosquito.
tɔ́.	a stone.
atɔ̄.	a drum.
akúna.	a pig.
Á lɛkɔ̄ ?	how ?
Mḿm̄ḿ.	of course!
Meŋ.	I.
á sí ńzīŋŋɛ̄!	fine!
a zɛ́ púp.	fine.
tsitsia.	mouse.
Meŋ ghʉɔ Asikúu.	I am going to school.
Meŋ ghʉɔ Afaʼ.	i am going to work.
Meŋ ghʉɔ Cɔ́ɔ́si.	I am going to church.
Meŋ ghʉɔ Ŋkāʼ.	I am going to the farm.
Meŋ ghʉɔ Alā.	I am going to the village.
Levhó mə́ ajʉʼ.	to come from.
